,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
131,"La Jeepeta - Remix","Nio Garcia",270063,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
132,"you broke me first","Tate McRae",269517,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
133,Wow.,"Post Malone",268926,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
134,PTSD,"G Herbo",268630,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
135,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",266704,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
136,"rockstar (feat. 21 Savage)","Post Malone",266244,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
137,Mariposa,"Peach Tree Rascals",263564,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD
138,"If the World Was Ending (feat. Julia Michaels)","JP Saxe",263305,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
139,"when the party's over","Billie Eilish",261398,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
140,Myron,"Lil Uzi Vert",260800,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
141,"Beautiful Crazy","Luke Combs",260062,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
142,"Something Special","Pop Smoke",258554,https://open.spotify.com/track/5kkaSMcf4BFlhRRICCKZb6
143,"XO Tour Llif3","Lil Uzi Vert",256594,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
144,"Truth Hurts",Lizzo,256457,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
145,"Tongue Tied",Grouplove,255584,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
146,"NO DRIBBLE (with Stunna 4 Vegas)",DaBaby,254708,https://open.spotify.com/track/69CQe4ekUZ7txcSfEXYFW9
147,"RELENTLESS (feat. Lil Uzi Vert)",Gunna,254614,https://open.spotify.com/track/6nDSLDomNqfet6w0r1GHAz
148,"I Want It","Juice WRLD",254054,https://open.spotify.com/track/6RsRMf9e4KUyo3MecGffNL
149,"No Guidance (feat. Drake)","Chris Brown",252842,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
150,MAMACITA,"Black Eyed Peas",252746,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
151,"Magic In The Hamptons (feat. Lil Yachty)","Social House",251394,https://open.spotify.com/track/2Yer0p7uB2lVBUAtANuuQp
152,"...And To Those I Love, Thanks For Sticking Around",$uicideboy$,249549,https://open.spotify.com/track/41LhQUkElADQ5YUbpYv2D0
153,Falling,"Harry Styles",248987,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
154,Suge,DaBaby,247565,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
155,"I Fall Apart","Post Malone",245222,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
156,"Armed And Dangerous","Juice WRLD",244776,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
157,"Die From A Broken Heart","Maddie & Tae",243847,https://open.spotify.com/track/3DA4SE262k6rdEtlHteNyq
158,"Pop Out (feat. Lil Tjay)","Polo G",243760,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
159,"The Less I Know The Better","Tame Impala",243350,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
160,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",240436,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
161,"Kings & Queens","Ava Max",238465,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
162,"10,000 Hours (with Justin Bieber)","Dan + Shay",238167,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
163,"Turks (with Gunna & ft. Travis Scott)",NAV,237780,https://open.spotify.com/track/7IMwEtpAiJanqF6vQteZN2
164,"Emotionally Scarred","Lil Baby",237411,https://open.spotify.com/track/7ge7BHazYbVKi8qyZUX1Bm
165,"Party Girl (Remix)",StaySolidRocky,237381,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
166,"Money In The Grave (Drake ft. Rick Ross)",Drake,236860,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
167,"No Role Modelz","J. Cole",236161,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
168,"Stuntin' On You (feat. DaBaby)","Tyla Yaweh",235606,https://open.spotify.com/track/341lTIxmhybbQsgydwJiFx
169,"That Way - Bonus Track","Lil Uzi Vert",235568,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
170,24,"Money Man",235230,https://open.spotify.com/track/2FVMbLuIxo0dz3KLXgN6Jh
171,Ransom,"Lil Tecca",234902,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
172,"Sum 2 Prove","Lil Baby",234581,https://open.spotify.com/track/5f4Hy5mw5SRaUgXX9c6P5S
173,"Goodbyes (feat. Young Thug)","Post Malone",234001,https://open.spotify.com/track/0t3ZvGKlmYmVsDzBJAXK8C
174,"I Hope","Gabby Barrett",233476,https://open.spotify.com/track/23T0OX7QOiIUFShSzbJ5Uo
175,July,"Noah Cyrus",233069,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
176,"Better Now","Post Malone",232771,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
177,"Only You Freestyle","Headie One",232158,https://open.spotify.com/track/4OENnoidV0h8gJV6bhrw7r
178,"20 Min","Lil Uzi Vert",232028,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
179,"Tennessee Whiskey","Chris Stapleton",231586,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx
180,"OUT WEST (feat. Young Thug)",JACKBOYS,231476,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
181,"Don't Stop Believin'",Journey,230729,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
182,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,229671,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
183,Memories,"Maroon 5",229535,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
184,"Lose Somebody",Kygo,229447,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
185,"Así Soy Yo","Anuel AA",229089,https://open.spotify.com/track/6NfC2FKfsfzuLIF4lThw0A
186,"When It Rains It Pours","Luke Combs",227701,https://open.spotify.com/track/1mMLMZYXkMueg65jRRWG1l
187,"Said Sum","Moneybagg Yo",227131,https://open.spotify.com/track/45npF3MKvCa1sO7s4y7qBf
188,Safaera,"Bad Bunny",226604,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
189,"ocean eyes","Billie Eilish",225729,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
190,"Heart On Ice","Rod Wave",225430,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD
191,"Mr. Brightside","The Killers",225019,https://open.spotify.com/track/7d8GetOsjbxYnlo6Y9e5Kw
192,"Shotta Flow 5","NLE Choppa",224389,https://open.spotify.com/track/1orjH4IkSH9VrWmRCToKV8
193,F.N,"Lil Tjay",224241,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
194,"Dreams - 2004 Remaster","Fleetwood Mac",223763,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
195,Moonlight,XXXTENTACION,223479,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
196,"How You Like That",BLACKPINK,222924,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
197,"One Margarita","Luke Bryan",222374,https://open.spotify.com/track/6NhS5LwYbJ6xD7BGvlWRJO
198,Savage,"Megan Thee Stallion",221591,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
199,Congratulations,"Post Malone",221321,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
200,"Beer Never Broke My Heart","Luke Combs",219638,https://open.spotify.com/track/7aEtlGHoiPAfRB084NiDmx
