,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
190,Orphans,Coldplay,228749,https://open.spotify.com/track/6muOWhMh7Tf0UFUtMDBhUR
191,"Somebody's Watching Me - Single Version",Rockwell,228642,https://open.spotify.com/track/6A4Jc8npNo79BOgsrPptLA
192,"What Am I","Why Don't We",228400,https://open.spotify.com/track/0TMGV2zMZXOILVtQLtkI3G
193,"Ric Flair Drip (& Metro Boomin)",Offset,228201,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
194,Shots,"Lil Tecca",227491,https://open.spotify.com/track/6eSU1exzDvBEXmBRxspeh5
195,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",226470,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
196,"No Role Modelz","J. Cole",223331,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
197,"Tap (feat. Meek Mill)",NAV,223036,https://open.spotify.com/track/5rU6kDNXZLXIinFezpbWbO
198,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,222503,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
199,Congratulations,"Post Malone",222431,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
200,"Act Up","City Girls",222378,https://open.spotify.com/track/3A2yGHWIzmGEIolwonU69h
