,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
131,"Look Alive (feat. Drake)","BlocBoy JB",345026,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
132,"Winter Wonderland","Bing Crosby",341646,https://open.spotify.com/track/5VEuraNSVxMTzDTtrmL3lQ
133,"Ric Flair Drip (& Metro Boomin)",Offset,341141,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
134,Uproar,"Lil Wayne",335445,https://open.spotify.com/track/3wScL5W8H40zzCKN0atfBk
135,STARGAZING,"Travis Scott",334832,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
136,YOSEMITE,"Travis Scott",333790,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
137,"XO Tour Llif3","Lil Uzi Vert",332928,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
138,"Bad Liar","Imagine Dragons",331930,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
139,"Run Rudolph Run - Single Version","Chuck Berry",331654,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ
140,"Everybody Dies In Their Nightmares",XXXTENTACION,329129,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
141,"Beautiful (feat. Camila Cabello)",Bazzi,327605,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
142,"Girls Like You (feat. Cardi B) - Cardi B Version","Maroon 5",326988,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
143,"This Week","Lil Baby",326868,https://open.spotify.com/track/3yIZgYN7AKO3cDueyhpuCS
144,"ocean eyes","Billie Eilish",323920,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
145,"My Own Thing","Chance the Rapper",320229,https://open.spotify.com/track/2ySRRtrAwDUF4FipiF1Djt
146,"Lucky You (feat. Joyner Lucas)",Eminem,319016,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
147,"Far Gone (feat. Lil Baby)","Ski Mask The Slump God",311752,https://open.spotify.com/track/6RiMRVxOiEYd4QSu1cxrls
148,"Cat Piss (feat. Lil Yachty)","Ski Mask The Slump God",310934,https://open.spotify.com/track/3clpchqQ6A3p8jjPgKdhk0
149,"WORKIN ME",Quavo,310705,https://open.spotify.com/track/4MAsYGSgxsaj73dC2lvFC4
150,"Nice For What",Drake,310574,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
